21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.MemberForAYear.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Padawan.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.Photogenic.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:12 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Name' was not found for the language Setup Language.
