21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Name' was not found for the language Setup Language.
21/07/2016 20:01:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.PosterVoteUp.Desc' was not found for the language Setup Language.
