21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Name' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavourited.Desc' was not found for the language Setup Language.
21/07/2016 20:01:14 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.YourPostFavouritedTenTimes.Name' was not found for the language Setup Language.
