22/07/2016 15:14:47 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Name' for language Portuguese (Brazil).
22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Desc' for language Portuguese (Brazil).
