22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavourited.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Name' for language Portuguese (Brazil).
22/07/2016 15:15:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.YourPostFavouritedTenTimes.Desc' for language Portuguese (Brazil).
22/07/2016 15:33:23 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Home.Rss' for language Portuguese (Brazil).
22/07/2016 15:33:23 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Post.MemberIsOnline' for language Portuguese (Brazil).
22/07/2016 15:33:23 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Date.HoursAgo' for language Portuguese (Brazil).
22/07/2016 15:33:24 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.SearchFor' for language Portuguese (Brazil).
22/07/2016 15:33:24 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search' for language Portuguese (Brazil).
22/07/2016 15:33:24 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.Go' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Topic.HotTopics' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Register' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Logon' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
22/07/2016 15:33:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
